"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Taiwan,"5,930,927",39628,10509,40,5211092,26695,709326,,248034,439,25277095,1057100,23911734,Asia,4,2275,1
Portugal,"5,456,778",,24951,,5363124,,68703,61,538609,2463,44824531,4424389,10131236,Europe,2,406,0
Ukraine,"5,096,397",,108955,,4942518,1633,44924,177,118094,2525,19521252,452349,43155291,Europe,8,396,2
Austria,"5,013,900",,20670,,4941958,,51272,47,549792,2267,196596718,21557549,9119623,Europe,2,441,0
Greece,"4,838,811",,33829,,4771153,6023,33829,115,469288,3281,92282015,8949902,10310953,Europe,2,305,0
Malaysia,"4,815,679",,36305,,4752216,,27158,60,144702,1091,64216700,1929594,33279908,Asia,7,917,1
DPRK,"4,772,813",,74,,4772739,,0,,183374,3,,,26027718,Asia,5,351726,
Thailand,"4,672,910",764,32620,14,4630365,969,9925,1496,66579,465,17270775,246072,70185817,Asia,15,2152,4
Israel,"4,648,682",,11676,,4627644,,9362,101,498465,1252,41373364,4436346,9326000,Asia,2,799,0
Chile,"4,580,469",,60909,,4504692,,14868,130,235164,3127,44694316,2294630,19477791,SouthAmerica,4,320,0
Belgium,"4,511,590",,32625,,4432091,,46874,52,385581,2788,35440277,3028890,11700748,Europe,3,359,0
Canada,"4,216,141",,44740,,4090867,3275,80534,99,109592,1163,64759986,1683330,38471360,NorthAmerica,9,860,1
Peru,"4,131,137",,216264,,3898882,1517,15991,165,121561,6364,34796829,1023914,33984117,SouthAmerica,8,157,1
Czechia,"4,073,515",2596,40951,2,4013106,2413,19458,22,378835,3808,56100113,5217282,10752746,Europe,3,263,0
Switzerland,"4,053,996",,14171,,3984033,3146,55792,47,460991,1611,22207189,2525242,8794084,Europe,2,621,0
South Africa,"4,015,626",,102146,,3907091,,6389,192,65877,1676,26174429,429394,60956657,Africa,15,597,2
Philippines,"3,916,162",,62479,,3827320,,26363,725,34719,554,32556942,288637,112795440,Asia,29,1805,3
Romania,"3,249,108",,66888,,3155096,2630,27124,141,171410,3529,24889538,1313074,18955161,Europe,6,283,1
